666744905558048769;CocoricoFan;# # URL L'Équipe de France s'incline 2-0 face à l'Anglete… URL ;Tue Nov 17 23:29:07 CET 2015;france;0
666744903658020865;Wallace William;VIDEO .  Angleterre-France  :  Wembley chante en chœur la  " Marseillaise "  en hommage aux victimes des attentats URL ;Tue Nov 17 23:29:07 CET 2015;france;2
666744903486078977;Bruce Graham  #ART;I liked a @ video from @ URL L'âme de la France (The Soul of France) by Kyle Landry ;Tue Nov 17 23:29:07 CET 2015;france;2
666744899887308806;gta map ;J'aime une vidéo @  " GTA 5 INTERDIT EN FRANCE (Réactions de la team LaSalle) "  à l'adresse URL ;Tue Nov 17 23:29:06 CET 2015;france;2
666744892530429952;s0lidaireDuMonde;France Libertés sur Fréquence Terre ,  la radio nature URL ;Tue Nov 17 23:29:04 CET 2015;france;2
666744887514034177;LCP;#  :  la France prend les armes  ?  Le débat de # à revoir sur LCP et LCP . fr URL URL ;Tue Nov 17 23:29:03 CET 2015;france;1
666744887467986944;';Sur le pont à Istanbul ya le drapeau de la France mais de le drapeau de fener sa fait deux ans on l'a pas vu ;Tue Nov 17 23:29:03 CET 2015;france;1
666744886524321794;Maitre Yod'zer;Les africains (Noirs , Arabes) pour la CAF premier de la classe ,  mais quand c'était attentat en France sa parle de oh jsuis Syrie moi fionton ;Tue Nov 17 23:29:03 CET 2015;france;0
666744884187926528;Brun Jean;Exclusif - La lettre de Harlan Coben à la France URL ;Tue Nov 17 23:29:02 CET 2015;france;1
666744882162216965;onkruidje!;viva la france fuck # # ;Tue Nov 17 23:29:02 CET 2015;france;0
666744870812413952;Wandrille;Les tueurs étant des hommes ,  tous les hommes de France doivent dire qu'ils n'ont rien à voir avec ces attentats .  URL ;Tue Nov 17 23:28:59 CET 2015;france;1
666744863153483776;Florian Hlr;Rapprochement France – Russie  :   " l'absence de consistance "  de Paris URL via @ ;Tue Nov 17 23:28:57 CET 2015;france;1
666744861299769346;L'important;Renseignement :  pour en savoir plus sur les 10000 fichés S en France URL URL ;Tue Nov 17 23:28:57 CET 2015;france;1
666744856455311360;Vin;@ avec nos antillais français depuis des siècles que jrespecte 20 millions de noirs en France Ç ça pour vous un pays raciste ?  ?  ?  ;Tue Nov 17 23:28:55 CET 2015;france;0
666744855670988800;WillNeverBNadineM?;@ @ svp rappelez non stop le désarmement de # par # ds police gendarmerie partout .  Il ft mentir ses sbires ;Tue Nov 17 23:28:55 CET 2015;france;0
666744854911819778;Le raist c oraible;Bjr je suis chateau et bienvenue dans les plus beaux stéphane bern de france ;Tue Nov 17 23:28:55 CET 2015;france;2
666744847483695104;Supremacy;Nos @ se sont qualifiés pour la demi-finale de la # des #  !  Le suite demain dès 20h  !  # URL ;Tue Nov 17 23:28:53 CET 2015;france;2
666744845243981824;Huseyin Akçay;@ Je suis l'actualité en France mais aussi en Turquie .  Ce que subit la France auj ,  la Turquie le subit depuis 30 ans ;Tue Nov 17 23:28:53 CET 2015;france;1
666744838092664838;Meika ?;I'm at @ in Paris ,  Île-de-France URL ;Tue Nov 17 23:28:51 CET 2015;france;1
666744833785118720;CarnivorGames;@ @ FRANCE ?? ;Tue Nov 17 23:28:50 CET 2015;france;1
666744828672262149;Ophélie PLUM.;@ @ j'espère ne jamais vous revoir en France alors  !  !  !   Vive la république et vive la France  !  !  !  !  !  !  !  ;Tue Nov 17 23:28:49 CET 2015;france;2
666744828198264832;Olivia Gauch; " @ Paris sera toujours Paris   .  .  .  .  .  .  @ @ @  # # URL ?? ;Tue Nov 17 23:28:49 CET 2015;france;1
666744823639121921;bruh;Ça reste très inéquitable qd mm sans oublié le glorieux passé de la France ailleurs ^^  URL ;Tue Nov 17 23:28:48 CET 2015;france;2
666744819172159489;RaphaelleRocheRédac;Exclusif - La lettre de Harlan Coben à la France URL ;Tue Nov 17 23:28:47 CET 2015;france;1
666744814101274625;ActuTragique;65 ans après ,  un rescapé du naufrage de la frégate Laplace témoigne URL ;Tue Nov 17 23:28:45 CET 2015;france;1
666744809563013122;V Z N I L;Rapprochement France – Russie  :   " l'absence de consistance "  de Paris URL via @ ;Tue Nov 17 23:28:44 CET 2015;france;1
666744808166264832;JeromeAubry;@ En France et ailleurs ,  on reconnaît l'identité de quelqu'un au drapeau qu'il brandit lors d'un match de foot .  ;Tue Nov 17 23:28:44 CET 2015;france;2
666744800591405056;Coco.DT? ?;Touchante la lettre de Harlan Coben à la France #  URL ;Tue Nov 17 23:28:42 CET 2015;france;2
666744800163569666;Juventus France;Retour de la Serie A samedi avec le choc # en espérant que Chiellini & Bonucci se réveilleront d'ici là # ;Tue Nov 17 23:28:42 CET 2015;france;0
666744799286849537;Creative Network;État d’urgence  :  comment la France peut déroger aux Droits de l’homme URL ;Tue Nov 17 23:28:42 CET 2015;france;0
666744798691401730;FreroMedia;751 # # # # # Retrouvez Cyril H et Camille C sur Radios France FreroMedia URL ;Tue Nov 17 23:28:42 CET 2015;france;1
666744795843309569;GwenPhotos;J’ai publié 32 photos sur Facebook ,  dans l’album 3eme album Quelneuc coupe de france URL ;Tue Nov 17 23:28:41 CET 2015;france;1
666744787777757184;Céline Delsaux;@ non ce n'est pas celui ci ,  qui est génial d'ailleurs mais Stephen Colbert URL ;Tue Nov 17 23:28:39 CET 2015;france;1
666744778424320000;Ouest-France 61;À Saint-Germain-du-Corbéis ,  les frelons obtiennent un sursis URL # ;Tue Nov 17 23:28:37 CET 2015;france;0
666744768815341568;David;@ merci pour votre accueil Thanks # # see you soon in France # ;Tue Nov 17 23:28:35 CET 2015;france;2
666744761882021888;Africa Live;# FR - VIDÉO .   " Tous au bistrot "   :  Deux infirmiers nous racontent leur retour dans un café parisi .  .  .  URL ;Tue Nov 17 23:28:33 CET 2015;france;2
666744761202704384;Novide Hussain;Pire ,  la Turquie a signalé deux fois à la France qu'Ismaël O .  M .  était dangereux .  Mais notre État n'a rien fait .  #éeAuPS ;Tue Nov 17 23:28:33 CET 2015;france;0
666744760158298112;gregory;@ le duo @ @ marche peu être bien mais ce n'est pas le cas pour mon # merci pour ses coupures @ ;Tue Nov 17 23:28:32 CET 2015;france;1
666744759516463104;Lome Live;# FR - VIDÉO .   " Tous au bistrot "   :  Deux infirmiers nous racontent leur retour dans un café parisi .  .  .  URL ;Tue Nov 17 23:28:32 CET 2015;france;2
666744758581096448;Cloud Actualité 24/7;Angleterre-France :  les Bleus avaient la tête ailleurs URL ;Tue Nov 17 23:28:32 CET 2015;france;1
666744756572065792;Ricardo VINTRIS;VIDÉO .   " Tous au bistrot "   :  Deux infirmiers nous racontent leur retour dans un café parisien après les attentat .  .  .  URL ;Tue Nov 17 23:28:32 CET 2015;france;2
666744755485675520;Actu Foot en direct;? # # Le coeur n'y était pas - Débrief et NOTES des joueurs (Angleterre 2-0 France) :  Dans une atmos .  .  .  URL ;Tue Nov 17 23:28:31 CET 2015;france;0
666744754080718848;DJ'ai lseum;Mettre Chalghoumi en tant que porte parole des musulmans c'est tout benef pour la France ,  même donner la parole c'est hypocrite chez eux ;Tue Nov 17 23:28:31 CET 2015;france;0
